X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"392270040",way,9.375,doctors,,Doctor's Surgery,,,,,,,,,,,,,,,,,,,,,,,,72377490,2,2019/07/18 08:12:44+00,ddd0da149f8846b5b41a46c6a9d1cfa0
68.7400434566021,38.5886528951143,"9768712175",node,15.625,pharmacy,pharmacy,Дорухона,,,,,,,,,,,yes,,,,,,,,,,,,,121455490,1,2022/05/25 05:35:43+00,0af1352dda554a51980ba716ca1ab3eb
68.7804793500728,37.8348461306768,"7489293901",node,15.625,pharmacy,pharmacy,Аптека,,,,,,,,,,,yes,,,,,,,,,,,,,84757575,1,2020/05/06 11:37:42+00,9c10822c0c464812971f351c22b94a56
68.1301935322368,37.2634380450171,"6925684128",node,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,76317326,1,2019/10/28 22:11:50+00,a30030d85270471b8528b3942c261cad
,,"363315803",way,9.375,hospital,,Коллечи тибби,,,,,,,,,,,,,,,,,,,,,,,,43235244,2,2016/10/28 03:43:31+00,4e13e7092790489f8920f1427f5a7302
71.5829845179342,37.4899830343434,"6737783886",node,12.5,hospital,,"Медицинский центр Ага Хана, Хорог",,,,,,24/7,,,,,,,,,,,,,,,,,,73647350,1,2019/08/23 03:54:27+00,b216898589bf46efa151920ed583f57c
,,"173323416",way,31.25,hospital,,Health Centre,Department of Health,QuickBird 20/04/2010,,,,"Mo-Fr 08:00-17:00; Sa 08:00-11:00",,,,,,yes,,,,,,,,"125",Lenin,,Khorog,154430292,8,2024/07/26 08:12:30+00,f60823494b6f444b81b2b6cbd2898473
69.0038992306199,39.9134734604863,"6869936986",node,9.375,hospital,,Абуали,,,,,,,,,,,,,,,,,,,,,,,,75560331,1,2019/10/11 11:37:10+00,a2c5eeaa8bad42c7ba242affb714444e
68.8126474180721,37.8316010768631,"4755812321",node,18.75,hospital,hospital,Карияи Боло,,,,,,24/7,,,,,,,,,,,,,,,улица Вахдат 1,,,76571387,2,2019/11/04 06:43:26+00,0bc102a3a404411ab523d90c825b2c04
71.5235358696761,36.8902404279199,"12084736256",node,12.5,doctors,doctor,Бунгоҳи саломатии деҳаи Мулвоҷ,,,,,,,,,,,,,,,,,,,,,,,,157546400,2,2024/10/06 15:39:09+00,39457aff17474ce39c61a7477810656a
68.3269036401312,38.5310049311149,"6280576807",node,12.5,hospital,,Маркази Саломати,,,,,,,,,,,,,,,,,,,,,Школьная,,,67222419,1,2019/02/15 10:27:56+00,084f9932b5d84d8a826e041c9cc13912
69.5891126460825,40.2907164355121,"6632985110",node,15.625,dentist,,Дента плюс,,,,,,"Mo-Fr 09:00-12:00, 13:00-18:00; Sa 09:00-14:00",,,,,,,,,,,,,,,,"735700",,72455106,1,2019/07/20 09:07:24+00,2b9735e72ae44bb89f07d1a1429c0caf
68.78552466905,38.5636051700419,"9704640732",node,21.875,dentist,dentist,Дармонгоҳи дандонпизишкӣ,,,,,,,,,,,,,,,,,,,,"46",кӯчаи Шевченко,,Душанбе,121017006,2,2022/05/15 15:24:10+00,4371f2f9848845478cb6ad9b802ac84d
,,"391367859",way,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,36569121,1,2016/01/14 12:23:44+00,ffc58ebd051f46e5a263cf92b79fdb66
68.762495892995,38.5554778252677,"9766025984",node,25,pharmacy,pharmacy,Дорухона,,,,,,,,,,,yes,,,,,,,,,"4",Хиёбони Неъмат Қаробоев,,Душанбе,121400509,1,2022/05/24 05:31:18+00,3f804751ffdc4b8c90b83a1eed9ce3fa
68.741796783108,38.5818876934249,"5344673721",node,12.5,dentist,dentist,Стоматология,,,,,,,,,,,,,,,,,,,,,,,,62390530,3,2018/09/07 23:10:38+00,47550bec760b4fc991072ae3ab008387
71.8756450374839,38.0609117589606,"3948182810",node,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,36595133,1,2016/01/15 15:15:25+00,fe3f487be1e241ab8e6ab5ceba0ba158
67.5907577971373,39.4933162308594,"4330491597",node,31.25,pharmacy,pharmacy,Панчфарм,Панчфарм,,,,,24/7,,,,,,,,,,,,,,"23",проспект Рудаки,"735500",Панҷакент,86999700,3,2020/06/22 21:36:19+00,1e7eea88b106442c8f492ffff77a3cc4
,,"392958324",way,9.375,doctors,,First Aid Post,,,,,,,,,,,,,,,,,,,,,,,,36769696,2,2016/01/24 04:49:55+00,07793929657d4d27b297c01ac877cadb
,,"392444602",way,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,36700477,1,2016/01/20 13:10:35+00,6575ea5b14ab438b97f03696f07bb93d
68.782204764841,38.5685759738999,"5513310622",node,9.375,clinic,,Лаборатория Тишковой,,,,,,,,,,,,,,,,,,,,,,,,57623982,1,2018/03/29 07:46:22+00,d3d28102a867482eb440b810d4deffad
68.7417153948281,38.5114605960281,"4790567323",node,12.5,pharmacy,pharmacy,Дорухона,,,,,,,,,,,,,,,,,,,,,,,,110241363,2,2021/08/25 16:05:43+00,e3f8b543bb084936bf0b07aa1a49a468
,,"366616565",way,9.375,doctors,,,,bing,,,,,,,,,,,,,,,,,,,,,,36753517,2,2016/01/23 07:35:09+00,4077b07be88142b2a045e9e99f12aa57
68.714050923404,38.5857553550063,"4788312567",node,9.375,clinic,,Маркази саломатии шаҳрӣ №5,,,,,,,,,,,,,,,,,,,,,,,,57959966,2,2018/04/10 05:52:15+00,09932f28070a490989aeed894c180f9d
69.3504348519125,40.1505172864516,"6859087087",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,96337587,2,2020/12/23 16:22:55+00,c40d6af08fef406487744954a267b43a
68.7560739302405,38.5555575371669,"4588583193",node,9.375,hospital,,Городской Центр Кожных и Венерологических Заболеваний,,,,,,,,,,,,,,,,,,,,,,,,44969611,3,2017/01/06 23:17:27+00,49e196f885fd4288803cde7d94280b25
68.7988483746965,38.5584713381671,"9704579176",node,9.375,,pharmacy,Аптека,,,,,,,,,,,,,,,,,,,,,,,,157648318,2,2024/10/08 22:48:03+00,35e47f27d7594cbba29f2f0f4ad35c39
69.7784799553397,37.9126694194338,"6516579486",node,12.5,pharmacy,pharmacy,,,,,,,Mo-Fr 08:00-22:00,,,,,,,,,,,,,,,,,,146896193,2,2024/01/31 09:41:43+00,133bba105aa74e63ac395eff58e0d552
68.727090650171,38.5775865198114,"4292369592",node,9.375,pharmacy,,Дорухона,,,,,,,,,,,,,,,,,,,,,,,,47226020,2,2017/03/28 11:54:21+00,be3dee310cfb41d7adf7f9d73ca9072e
,,"676971484",way,15.625,hospital,hospital,Hospital of Sarband,,,,,,,,,,,,,yes,,,,,,,,,,,68163196,1,2019/03/15 06:49:19+00,850cd8213f5845dbbc8b6636b33538e1
68.7849879757898,38.6121166919441,"9523383757",node,15.625,pharmacy,pharmacy,Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,117663771,1,2022/02/21 05:57:35+00,f1ec1c684fc845f3a6a53aee64924240
,,"392737025",way,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,36735574,1,2016/01/22 10:14:15+00,c267634fd5064dd1958706529743b987
,,"573936520",way,18.75,hospital,hospital,Больница Караболо,,,,,,,,,,,,,,,,,,,,,,"735000",Турсунзаде,74124375,4,2019/09/05 10:19:00+00,57d3475e2e7a4563a5925a1a42b5c4ee
70.6890472522232,38.6710516971757,"3959028743",node,9.375,doctors,,Doctor's Surgery,,,,,,,,,,,,,,,,,,,,,,,,46577925,2,2017/03/04 17:35:25+00,f212906d002945f0849f85f7db352ed3
,,"275272615",way,25,dentist,dentist,Стоматология,,,,,,,,,,,,,,,,,,,,23-дои,3-й микрорайон,"735000",Турсунзаде,79085900,5,2020/01/01 16:40:56+00,9fa05b59ef724ad89accc52cdf4a3da1
68.5585401327212,38.5242760230663,"9510054920",node,9.375,pharmacy,,Дорухона,,,,,,,,,,,,,,,,,,,,,,,,117469268,3,2022/02/16 10:14:14+00,b235f5e6e62f433090820f75209ff37f
68.7422826820349,38.5116099615427,"6549013913",node,18.75,hospital,hospital,Sakhovat Clinic and Diagnostic Center,,,clinic,,,,,,,,,,,,,,,,,,,,Dushanbe,71274893,1,2019/06/15 09:09:43+00,8e80d30da5f64206976a00ba053188e9
68.7565773473451,38.5081214972609,"12373454936",node,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,159568058,1,2024/11/25 11:00:50+00,2e569b1ce5664063b162445409bb9546
68.7509332252052,38.5187620718826,"9771101742",node,15.625,pharmacy,pharmacy,Дорухона,,,,,,,,,,,yes,,,,,,,,,,,,,121500262,1,2022/05/26 04:43:11+00,e7408e1ddfbf454393d9d1cc612a917b
,,"380361627",way,9.375,doctors,,,,bing,,,,,,,,,,,,,,,,,,,,,,36752794,2,2016/01/23 06:11:05+00,b05730f444d946fd9f6571f163f84170
69.4898377201715,40.119193695197,"4759762123",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,47230572,1,2017/03/28 13:50:28+00,19d847f04edc47a89a6429a12ae607da
68.8285154504269,38.5603861839471,"9774300908",node,15.625,pharmacy,pharmacy,Дорухона,,,,,,,,,,,yes,,,,,,,,,,,,,121558210,1,2022/05/27 07:01:06+00,393a1918f3fe48dcba8a790a9b88e8d4
68.7438660235444,38.5629854959403,"1201351132",node,9.375,doctors,,Поликлиника,,,,,,,,,,,,,,,,,,,,,,,,33366337,2,2015/08/16 10:13:10+00,c60893d407a343278803e79c9a3de837
,,"391388470",way,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,116820168,2,2022/01/31 11:58:37+00,af50622e57464553a9cbb5ed6572dad3
69.0978870196471,37.2324684215335,"5522172621",node,9.375,pharmacy,,нохияи Панч марказ,,,,,,,,,,,,,,,,,,,,,,,,57734779,1,2018/04/02 10:08:43+00,00734f860a2145e088f66353e3b20498
71.563642270533,37.9449421774038,"3815400084",node,9.375,hospital,,Children's department,,,,,,,,,,,,,,,,,,,,,,,,158992032,2,2024/11/11 03:17:57+00,a04c7007e7e342f6a7102af6ccd70941
,,"392441531",way,9.375,doctors,,Doctor's Surgery,,,,,,,,,,,,,,,,,,,,,,,,36699990,1,2016/01/20 12:47:35+00,02d4850363064414a19fda4147549dcf
68.2158693231629,38.5114610989423,"6178463291",node,25,pharmacy,pharmacy,Аптека 42,,,,,,,,,,,yes,,,,,,,,,,4-й микрорайон,"735000",Турсунзаде,69826349,2,2019/05/03 04:04:40+00,add4113827d44d90ab5e50edcc0fb433
,,"27482693",way,9.375,hospital,,Городская больница №7,,,,,,,,,,,,,,,,,,,,,,,,64348971,6,2018/11/10 10:58:49+00,5e109920c165486393d173844bd75602
68.6436864388239,38.7052312542986,"11434406540",node,9.375,hospital,,,,,,,,,,,,,,,ambulance_station,,,,,,,,,,,145321264,1,2023/12/20 08:49:35+00,ad908bce14bf4f989dbaead52456a463
68.7800051858102,37.8322655941467,"7489384332",node,15.625,pharmacy,pharmacy,Аптека,,,,,,,,,,,yes,,,,,,,,,,,,,94680546,2,2020/11/24 06:21:40+00,5536dc528bea4e56a72a9539d778bd46
,,"392544844",way,9.375,doctors,,Doctor's Surgery,,,,,,,,,,,,,,,,,,,,,,,,36713531,1,2016/01/21 05:18:35+00,32e9c814ab4444909c80dd907b7ac9d8
,,"388722221",way,25,pharmacy,pharmacy,Дорухона,,,,,,,,,,,,,,,,,,,,Дорухона,кучаи Патриса Лумумбы,"735730",Бустон,139301681,4,2023/08/01 13:47:31+00,f245226081114eacb5a33687b45cb1ba
,,"220919429",way,12.5,doctors,doctor,Поликлиника,,,,,,,,,,,,,,,,,,,,,,,,121019089,3,2022/05/15 16:25:21+00,d65377de67784af0ada3600bf6d9c5cc
