school_id,school_name,school_lon,school_lat,nearest_hospital_dist,nearest_clinic_dist,nearest_pharmacy_dist,nearest_any_facility_dist,nearest_facility_type,nearest_facility_name,hospitals_within_5km,clinics_within_5km,total_facilities_within_10km,weighted_access_score,access_risk_category
0,Лицей 1 Фархорского района,69.3970217,37.5009372,0.010126895144410081,0.01171107563046346,0.4019415902853611,0.010126895144410081,hospital,Ибни Сино,2,1,3,4.441355560437948,Medium Risk
1,Муассисаи Таҳсилоти миенаи умуми №15,69.3212923,38.7223934,0.0020360388875654573,0.3422073977465523,0.001713766043236915,0.001713766043236915,pharmacy,,1,0,2,3.0187740119996844,Medium Risk
2,,68.9716696,39.3465406,0.01068078221909055,0.5563133286589734,0.41158320897199885,0.01068078221909055,hospital,,1,0,1,4.564278587653989,Medium Risk
5,,68.0675898,39.290713,0.05712448449601142,0.3442960543615394,0.48154957684136673,0.05712448449601142,hospital,,0,0,1,6.142833039016205,High Risk
6,Школа №51 Ободи,68.9950803,39.8959321,0.019633462888364723,0.011082471910178828,0.01739456460899517,0.011082471910178828,clinic,Детская поликлиника,5,2,15,0.17045151002455783,Low Risk
7,Школа №5 Ба номи (Мастибек Паллаев),71.3872995,37.9143253,0.17872785386617412,0.1814737675731854,0.17259743267858427,0.07358370920135142,doctors,,0,0,1,2.4652677929022957,Medium Risk
8,Школа №1 Имени Борона Назурова,69.0377958,38.3159338,0.2403256636119713,0.23964872574784987,0.22571322124303733,0.22571322124303733,pharmacy,Дорухона,0,0,0,2.715056079760508,Medium Risk
10,Мактаби №96,68.7229319,38.5875798,0.010211664695612518,0.00906644058237887,0.0019266447475554198,0.0019266447475554198,pharmacy,Дорухона,9,3,181,0.11348573146917204,Low Risk
11,Мактаби №89,68.7302376,38.5776602,0.0036884206851060418,0.018098067128821182,0.0031478122555910247,0.0031478122555910247,pharmacy,Дорухона,9,3,185,0.10125485101113049,Low Risk
12,"Маркази омӯзиши забонҳо ва компютерии ""ШАФАҚ""",68.7921989,38.5760577,0.0021341153730871443,0.004965521016553913,0.0008615291505633335,0.0008615291505633335,pharmacy,Аптека No. 5,30,10,192,0.028862953403188268,Low Risk
13,,70.6880254,38.401295,0.1133450293027777,0.5900159718121439,0.11359905241751513,0.1133450293027777,hospital,Qal'ai Khumb Hospital,0,0,0,5.481135712122143,High Risk
14,Мактаби №5,68.7784374,37.8469856,0.01029779155989629,0.0090666357969249,0.002393130126927009,0.002393130126927009,pharmacy,Аптека,3,10,55,0.13518611879233255,Low Risk
15,Мактаби №2 ба номи В.И. Ленин,69.0182835,38.5450559,0.0107582715332324,0.010139322897377375,0.004240344362278459,0.004240344362278459,pharmacy,Дорухона,2,4,12,0.9799764541264513,Medium Risk
16,Мактаби №3 ба номи В. Терешкова,69.0188555,38.5537204,0.002392190560107827,0.0020362819753830374,0.003259878480319675,0.0020362819753830374,clinic,Маркази СПИД,3,4,12,0.9589900369163352,Medium Risk
17,Гимназияи ба номи Абулфазли Балъамӣ,69.0133255,38.5585542,0.006392253016575258,0.007365181022687458,0.0028450697785379077,0.0028450697785379077,pharmacy,Сартарошхона,2,4,12,0.9402170892695179,Medium Risk
21,,69.8217094,37.9809508,0.06745219129169222,0.06649424751047153,0.060848481669952825,0.060848481669952825,pharmacy,,0,0,10,5.3312392994408215,High Risk
22,,69.8142314,37.9612526,0.04731819142234741,0.045974886111832695,0.039937643252278394,0.039937643252278394,pharmacy,,1,1,10,5.1902415521203995,High Risk
32,,67.8138468,39.2828138,0.011603299273720223,0.5516503406726251,0.30672459405138514,0.011603299273720223,hospital,,1,0,1,6.718076219080803,High Risk
33,,67.8543091,39.1289606,0.04473871120961404,0.46650414935141865,0.44968246016447555,0.04473871120961404,hospital,,2,0,2,6.345513996882959,High Risk
34,,67.838202,39.1849756,0.01582701443522144,0.49460796952182634,0.3953512086349632,0.01582701443522144,hospital,,2,0,2,6.455392141921571,High Risk
35,Мактаби миенаи дехоти Шинг №11,67.8043003,39.2778855,0.001620321494316026,0.5582966155275472,0.30333282105219034,0.001620321494316026,hospital,,1,0,1,6.725751594602535,High Risk
36,,68.7300685,38.5711562,0.0077203524364303205,0.021672519163833257,0.007086367368476925,0.007086367368476925,pharmacy,Дорухона,9,3,190,0.13224279398072558,Low Risk
37,iCenter,68.7407429,38.5629549,0.01702238129991807,0.01800435281715344,0.007728952620686078,0.003123273408643196,doctors,Поликлиника,18,5,191,0.12726266834935251,Low Risk
38,,68.724551,38.5605185,0.017634923416373384,0.027334053104705255,0.017255930090065864,0.017255930090065864,pharmacy,Дорухона,12,3,182,0.2189293484685773,Medium Risk
39,British school,68.7465805,38.5843179,0.009932256900152474,0.013968857964309443,0.0001230930940421525,0.0001230930940421525,pharmacy,Махсус,23,8,190,0.055326230078603676,Low Risk
40,школа 19,68.6371339,38.1269319,0.24008066879573925,0.32249340394079096,0.31577584179494217,0.24008066879573925,hospital,,0,0,0,2.836667046930564,Medium Risk
41,,68.6296419,38.1019267,0.2275220781556801,0.30013625477291783,0.29743029196937315,0.2275220781556801,hospital,,0,0,0,2.685842570891027,Medium Risk
42,мактаби 17,68.7466728,37.6639619,0.11801657882212926,0.16980723080748097,0.12436415099187544,0.11801657882212926,hospital,Беморхонаҳои марказии ноҳияҳои ба номи Кузибоев К.К.,0,0,0,1.4306484783194522,Medium Risk
43,Мактаби №79,68.7343789,38.4303258,0.05679221682009357,0.13621931450204783,0.06731298902349825,0.05679221682009357,hospital,роддом рудаки,0,0,13,0.8808991080836217,Medium Risk
