name,name:en,amenity,building,operator:type,capacity:persons,addr:full,addr:city,source,name:tg,osm_id,osm_type,healthcare_distance_risk,healthcare_capacity_risk,road_condition_risk,infrastructure_age_risk,environmental_risk,nearest_overall_dist,nearest_facility_type,nearest_facility_name,facilities_within_5km,facilities_within_10km,emergency_access_score,composite_risk_score,risk_category,priority_rank,ccri_supplement_ready,analysis_date,country,facility_access_group
Мактаби № 14,,school,,,,,,,,6046496202,nodes,0.15929722329046545,0.9838709677419355,0.7060114787596107,0.5769491525423728,0.42023220648491794,0.07740114836364138,doctors,Doctor's Surgery,0.0,3.0,0.0,0.5365850745955545,Medium-High Risk,79.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
школа 26,,school,,,,,,,,6943371485,nodes,0.047396891829773295,0.9838709677419355,0.6653299325195271,0.553796146877547,0.4598878166880039,0.023159455719214343,doctors,Doctor's Surgery,2.0,3.0,0.5368108856157132,0.48575940168472176,Medium-Low Risk,114.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,SWORDE-Teppa English Language and Education Centre - Kushoniyon District,school,,,,,,,,6454422286,nodes,0.07498257280039951,0.6989247311827957,0.7060114787596107,0.536949152542373,0.4265223203167828,0.060885205412478965,hospital,Беморхонаи маркази №2,0.0,56.0,0.0,0.44440020530379676,Medium-Low Risk,137.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Мактаби 7 н.Кушониён,,school,,,,,,,,6464546288,nodes,0.003749570600235397,0.989247311827957,0.7060114787596107,0.5769491525423728,0.45321827991074,0.0033369902427089686,hospital,Духтурхона,2.0,2.0,0.9332601951458206,0.4848679686424694,Medium-Low Risk,115.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Школа 23,School 23 named after Shodi Bahriddin,school,,,,,,,,4348957990,nodes,0.018623472445765548,0.935483870967742,1.0,0.76,0.6211520899085774,0.015353421915985209,hospital,роддом рудаки,2.0,12.0,0.6929315616802958,0.5886725940449952,Medium-High Risk,25.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
школа 10,мактаби 10,school,,,,,,,,5321212621,nodes,0.14786488237731774,0.9946236559139785,0.8451418488939514,0.6369230769230769,0.3967501820172889,0.11976587454132577,hospital,Роддом,0.0,1.0,0.0,0.5773388728776708,Medium-High Risk,34.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
,,school,,,,,,,,3945547808,nodes,0.0013721687557458765,0.9838709677419355,0.9683244690919447,0.6866666666666668,0.4744925340993132,0.0008497909448681699,doctors,Codan,2.0,3.0,0.9830041811026367,0.5660601965908499,Medium-High Risk,54.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3945547802,nodes,0.04235433717949394,0.956989247311828,0.9683244690919447,0.6866666666666668,0.45424396032323605,0.03452527860712663,hospital,"Медицинский центр Ага Хана, Хорог",2.0,8.0,0.3094944278574674,0.5740151827643364,Medium-High Risk,41.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3945547795,nodes,0.22221819035338647,1.0,0.9683244690919447,0.6866666666666668,0.43718519522799615,0.14386795530196878,clinic,First Aid Post,0.0,0.0,0.0,0.6447167436580712,Medium-High Risk,10.0,True,2025-06-17T13:08:11.477365,Tajikistan,
,,school,,,,,,,,3813468163,nodes,0.0023417796920810825,0.9946236559139785,0.8349538126369743,0.5914285714285714,0.41263856250868275,0.001759723435651491,clinic,First Aid Post,1.0,1.0,0.9648055312869702,0.5178290210739875,Medium-High Risk,95.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
,,school,,,,,,,,3945547815,nodes,0.025710346402637703,0.26881720430107525,0.9419281933352318,0.6628571428571429,0.4480538731879385,0.021078815129163278,hospital,Беморхонаи маркази №2,27.0,136.0,0.5784236974167345,0.4200753755229145,Medium-Low Risk,145.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3945547812,nodes,0.0035450681515979835,0.010752688172043001,0.9683244690919447,0.6866666666666668,0.45635084536826614,0.003171775376657688,hospital,"Stomotology and X-ray,",126.0,184.0,0.9365644924668463,0.3712899710288674,Medium-Low Risk,167.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
средняя школа № 53,,school,,,,,,,,9339781479,nodes,0.037818366055887474,0.9946236559139785,0.9419281933352318,0.7028571428571428,0.4479322512203734,0.030860726585415454,hospital,Беморхонаи вилоятии бемориҳои руҳӣ,1.0,1.0,0.3827854682916909,0.5754683916257544,Medium-High Risk,39.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
Тошбек,,school,,,,,,,,7239724185,nodes,0.0022467613028230612,0.9838709677419355,0.7909414960068343,0.5700000000000001,0.433735227252462,0.0012737341048965345,doctors,Codan,2.0,3.0,0.9745253179020693,0.5024826953687069,Medium-High Risk,102.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Мактаби 45 Тошбек,,school,,,,,,,,6955243185,nodes,0.06661126185513397,0.9838709677419355,0.7909414960068343,0.61,0.433735227252462,0.03247327936626951,doctors,,1.0,3.0,0.35053441267460983,0.5310102705620158,Medium-High Risk,86.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3820698142,nodes,0.009419098797686997,0.9838709677419355,0.9195928830795518,0.645,0.35834174175486094,0.007917328267789023,hospital,Поликлиника Чоркух,3.0,3.0,0.8416534346442195,0.5446361859852086,Medium-High Risk,71.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3820698150,nodes,0.003940192755865617,0.9838709677419355,0.9195928830795518,0.645,0.3582983024591186,0.0034909914007327145,hospital,,2.0,3.0,0.9301801719853457,0.542716396905784,Medium-High Risk,74.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3820698196,nodes,0.0026295071358427512,0.9838709677419355,0.9683244690919447,0.6866666666666668,0.40870214483883,0.0024321055507576096,hospital,Поликлиника Чоркух,3.0,3.0,0.9513578889848479,0.5632107455608598,Medium-High Risk,56.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3959028745,nodes,0.01869001816551136,0.9838709677419355,0.5820085487843425,0.610909090909091,0.16985844116083218,0.015407183336678922,hospital,Поликлиника Чоркух,3.0,3.0,0.6918563332664216,0.4489471227968069,Medium-Low Risk,133.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
мактаби раками 14,school namber 14,school,,,,,,,,10743677906,nodes,0.008323211291482838,0.9838709677419355,0.6432665827238281,0.6849999999999999,0.14308115998146975,0.0070319750177367,hospital,Поликлиника Чоркух,3.0,3.0,0.859360499645266,0.4704080211804366,Medium-Low Risk,126.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Средняя школа 22,,school,,,,,,,,4984013230,nodes,0.2940866957098759,1.0,1.0,0.76,0.6258376736093615,0.23789657402427716,hospital,,0.0,0.0,0.0,0.6982222271789247,Medium-High Risk,6.0,True,2025-06-17T13:08:11.477365,Tajikistan,
,,school,,,,,,,,9330197416,nodes,0.041927169244606544,0.989247311827957,1.0,0.72,0.5945523111600192,0.013672070077352967,pharmacy,,2.0,2.0,0.7265585984529407,0.6002515871592047,Medium-High Risk,19.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3958267483,nodes,0.022581787301542713,0.9838709677419355,0.7095789994271886,0.645,0.1547937223561238,0.011130775775290902,doctors,,3.0,3.0,0.777384484494182,0.48656225507853035,Medium-Low Risk,113.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
школа 14,мактаби 14,school,,,,,,,,5321459021,nodes,0.0017325608472597365,0.9838709677419355,0.9683244690919447,0.7266666666666667,0.41309877599578776,0.001024484592368614,doctors,,3.0,3.0,0.9795103081526277,0.5691166459177036,Medium-High Risk,47.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Мактаби №55 ш.Файзобод,,school,,,,,,,,4768928356,nodes,0.035769581267922713,0.989247311827957,0.6234091049243742,0.7266666666666667,0.3521673426350993,0.0175233240157194,doctors,,1.0,2.0,0.649533519685612,0.4928294591722129,Medium-Low Risk,109.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
